distance	category purity	target purity	singletons	median correlation	minimum correlation	clusters
0.236980157635	0.5		212	0.983434570354	0.983434570354	1
0.296225197043	0.5		212	0.983434570354	0.983434570354	1
0.355470236452	0.75	1.0	210	0.980929780062	0.978424989771	2
0.41471527586	0.75	1.0	210	0.980929780062	0.978424989771	2
0.473960315269	0.888888888889	1.0	205	0.959605849934	0.936600494771	4
0.533205354678	0.888888888889	1.0	205	0.959605849934	0.936600494771	4
0.592450394086	0.866666666667	1.0	199	0.94193014255	0.915247993332	7
0.651695433495	0.8125	1.0	198	0.94193014255	0.90401192253	7
0.710940472904	0.863636363636	1.0	192	0.936600494771	0.90401192253	9
0.770185512312	0.84375	0.95	182	0.935095461048	0.779735410392	13
0.829430551721	0.853658536585	0.925925925926	173	0.907526740593	0.779735410392	17
0.888675591129	0.860465116279	0.896551724138	171	0.907526740593	0.779735410392	17
0.947920630538	0.857142857143	0.90625	165	0.904684311477	0.779735410392	18
1.00716566995	0.86	0.909090909091	164	0.889501983614	0.779735410392	17
1.06641070936	0.883333333333	0.880952380952	154	0.889501983614	0.756502076346	21
1.12565574876	0.842857142857	0.897959183673	144	0.860342250816	0.702926132889	24
1.18490078817	0.844155844156	0.901960784314	137	0.835402145999	0.702926132889	26
1.24414582758	0.845238095238	0.905660377358	130	0.81566959787	0.626256323484	29
1.30339086699	0.835164835165	0.916666666667	123	0.813027546442	0.626256323484	32
1.3626359064	0.845360824742	0.876923076923	117	0.810370661081	0.631955267966	32
1.42188094581	0.819047619048	0.845070422535	109	0.799452029344	0.631955267966	32
1.48112598522	0.824561403509	0.820512820513	100	0.798098121545	0.596570738572	35
1.54037102462	0.823529411765	0.814814814815	95	0.782593484797	0.596570738572	35
1.59961606403	0.825396825397	0.821428571429	88	0.763846920361	0.556493966752	38
1.65886110344	0.835820895522	0.808988764045	80	0.758079249116	0.419451072482	39
1.71810614285	0.827338129496	0.804347826087	75	0.731388453752	0.419451072482	38
1.77735118226	0.830985915493	0.806451612903	72	0.72330461751	0.419451072482	39
1.83659622167	0.829931972789	0.80612244898	67	0.731388453752	0.419451072482	40
1.89584126108	0.835526315789	0.803921568627	62	0.711528442408	0.419451072482	41
1.95508630048	0.830065359477	0.78640776699	61	0.716524303946	0.337558553396	38
2.01433133989	0.829113924051	0.735849056604	56	0.699208453367	0.337558553396	37
2.0735763793	0.818181818182	0.736363636364	49	0.680499169083	0.163578054172	39
2.13282141871	0.824561403509	0.728070175439	43	0.653989038104	0.163578054172	39
2.19206645812	0.820809248555	0.704347826087	41	0.645284742904	0.163578054172	38
2.25131149753	0.817679558011	0.700854700855	33	0.63853196382	0.18678715404	40
2.31055653694	0.788043478261	0.689075630252	30	0.632070115945	0.18678715404	39
2.36980157635	0.784210526316	0.693548387097	24	0.63853196382	0.18678715404	40
2.42904661575	0.779487179487	0.6875	19	0.63853196382	0.18678715404	40
2.48829165516	0.776649746193	0.682170542636	17	0.629436190867	0.18678715404	40
2.54753669457	0.778894472362	0.669230769231	15	0.609763521019	0.18678715404	38
2.60678173398	0.778894472362	0.669230769231	15	0.609763521019	0.18678715404	38
2.66602677339	0.776119402985	0.656488549618	13	0.603361454285	0.18678715404	36
2.7252718128	0.766169154229	0.63358778626	13	0.602706509736	0.18678715404	33
2.78451685221	0.759803921569	0.598484848485	10	0.602706509736	0.18678715404	31
2.84376189161	0.75845410628	0.60447761194	7	0.589618745736	0.0920625635148	32
2.90300693102	0.690821256039	0.574626865672	7	0.551589166763	0.0920625635148	27
2.96225197043	0.68115942029	0.567164179104	7	0.564060074249	0.0920625635148	24
3.02149700984	0.68115942029	0.559701492537	7	0.564060074249	0.0920625635148	22
3.08074204925	0.676328502415	0.55223880597	7	0.576530981736	0.0920625635148	21
3.13998708866	0.661835748792	0.55223880597	7	0.381775460655	0.0655178434809	19
3.19923212807	0.663461538462	0.548148148148	6	0.381775460655	0.0655178434809	19
3.25847716747	0.666666666667	0.540145985401	4	0.429493230769	0.0655178434809	18
3.31772220688	0.661904761905	0.489051094891	4	0.45171372184	0.0741771383867	16
3.37696724629	0.649289099526	0.489051094891	3	0.470030684863	0.0741771383867	15
3.4362122857	0.650943396226	0.485507246377	2	0.432670230852	0.0741771383867	14
3.49545732511	0.63679245283	0.471014492754	2	0.390518853269	0.0741771383867	13
3.55470236452	0.63679245283	0.471014492754	2	0.390518853269	0.0741771383867	13
3.61394740393	0.627358490566	0.45652173913	2	0.390518853269	0.0741771383867	11
3.67319244333	0.603773584906	0.442028985507	2	0.392914315055	0.154305207853	10
3.73243748274	0.603773584906	0.427536231884	2	0.422913348623	0.109117882493	8
3.79168252215	0.568075117371	0.427536231884	1	0.306748262102	0.109117882493	6
3.85092756156	0.568075117371	0.427536231884	1	0.306748262102	0.109117882493	6
3.91017260097	0.568075117371	0.427536231884	1	0.306748262102	0.109117882493	6
3.96941764038	0.568075117371	0.427536231884	1	0.306748262102	0.109117882493	6
4.02866267979	0.568075117371	0.427536231884	1	0.306748262102	0.109117882493	6
4.0879077192	0.525821596244	0.420289855072	1	0.387575386068	0.0906176170698	5
4.1471527586	0.525821596244	0.420289855072	1	0.387575386068	0.0906176170698	5
4.20639779801	0.525821596244	0.420289855072	1	0.387575386068	0.0906176170698	5
4.26564283742	0.525821596244	0.420289855072	1	0.387575386068	0.0906176170698	5
4.32488787683	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.38413291624	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.44337795565	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.50262299506	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.56186803446	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.62111307387	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.68035811328	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.73960315269	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.7988481921	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.85809323151	0.528037383178	0.410071942446	0	0.282805225537	0.0906176170698	4
4.91733827092	0.528037383178	0.395683453237	0	0.178035065006	0.0683533272332	3
4.97658331032	0.528037383178	0.395683453237	0	0.178035065006	0.0683533272332	3
5.03582834973	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.09507338914	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.15431842855	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.21356346796	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.27280850737	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.33205354678	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.39129858619	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.45054362559	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.509788665	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.56903370441	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.62827874382	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.68752378323	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.74676882264	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.80601386205	0.528037383178	0.338129496403	0	0.200494039522	0.0134126929773	2
5.86525890145	0.528037383178	0.273381294964	0	-0.0210914449641	-0.0210914449641	1
